,ID,Title,Year,Runtime,Genres,AvgRating,VoteCount,Directors,Producers,Writers,Actors
1362,tt0406850,The House,2006.0,110,"Comedy,Drama",6.6,41.0,David Krae,Joseph Bechor,,"Shaun Austin-Olsen, Sarain Boylan, Maggie Castle, Matthew Finlason"
1363,tt0407121,Pooh's Heffalump Movie,2005.0,68,"Adventure,Animation,Comedy",6.4,8105.0,Frank Nissen,Jessica Koplos,"Brian Hohlfeld, Evan Spiliotopoulos, A.A. Milne","Jim Cummings, Brenda Blethyn, Kyle Stanger, John Fiedler"
1364,tt0407265,Transamerica,2005.0,103,"Adventure,Comedy,Drama",7.4,42029.0,Duncan Tucker,"Rene Bastian, Sebastian Dungan, Linda Moran",,"Felicity Huffman, Kevin Zegers, Fionnula Flanagan, Andrea James"
1365,tt0407304,War of the Worlds,2005.0,116,"Action,Adventure,Sci-Fi",6.5,464438.0,Steven Spielberg,"Colin Wilson, Kathleen Kennedy","Josh Friedman, David Koepp, H.G. Wells","Tom Cruise, Dakota Fanning, Tim Robbins, Miranda Otto"
1366,tt0407887,The Departed,2006.0,151,"Crime,Drama,Thriller",8.5,1376919.0,Martin Scorsese,"Graham King, Brad Grey","William Monahan, Alan Mak, Felix Chong","Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg"
1367,tt0408306,Munich,2005.0,164,"Action,Drama,History",7.5,233794.0,Steven Spielberg,"Barry Mendel, Kathleen Kennedy","Tony Kushner, Eric Roth, George Jonas","Eric Bana, Daniel Craig, Marie-Josée Croze, Ciarán Hinds"
1368,tt0408345,Firewall,2006.0,105,"Action,Crime,Thriller",5.8,59004.0,Richard Loncraine,"Armyan Bernstein, Basil Iwanyk, Jon Shestack",Joe Forte,"Harrison Ford, Virginia Madsen, Paul Bettany, Carly Schroeder"
1369,tt0408790,Flightplan,2005.0,98,"Drama,Mystery,Thriller",6.3,168259.0,Robert Schwentke,Brian Grazer,"Peter A. Dowling, Billy Ray","Jodie Foster, Peter Sarsgaard, Sean Bean, Kate Beahan"
1370,tt0408852,Wrong Turn,2005.0,\N,"Action,Drama",5.7,331.0,,Robert Higgins,Natalie Zhivolup,"Jeffrey M. Bell, Alex Alamul, Rich Amooi, Myers Clark"
1371,tt0408985,Last Holiday,2006.0,112,"Comedy,Drama,Romance",6.5,34669.0,Wayne Wang,"Jack Rapke, Laurence Mark","Jeffrey Price, Peter S. Seaman, J.B. Priestley","Queen Latifah, LL Cool J, Timothy Hutton, Giancarlo Esposito"
1372,tt0409182,Poseidon,2006.0,98,"Action,Adventure,Thriller",5.7,108365.0,Wolfgang Petersen,"Duncan Henderson, Mike Fleiss, Akiva Goldsman","Mark Protosevich, Paul Gallico","Richard Dreyfuss, Kurt Russell, Emmy Rossum, Josh Lucas"
1373,tt0409345,Surveillance,2008.0,97,"Crime,Drama,Mystery",6.3,18222.0,Jennifer Lynch,"Marco Mehlitz, David Michaels",Kent Harper,"Julia Ormond, Bill Pullman, Pell James, Caroline Aaron"
1374,tt0409459,Watchmen,2009.0,162,"Action,Drama,Mystery",7.6,568862.0,Zack Snyder,"Lloyd Levin, Lawrence Gordon","Dave Gibbons, David Hayter, Alex Tse","Jackie Earle Haley, Patrick Wilson, Carla Gugino, Malin Akerman"
1375,tt0409793,Cargo,2006.0,95,"Adventure,Drama,Thriller",5.0,1252.0,Clive Gordon,"Andrea Calderwood, Juan Gordon",Paul Laverty,"Peter Mullan, Daniel Brühl, Luis Tosar, Samuli Edelmann"
1376,tt0410097,Hustle & Flow,2005.0,116,"Crime,Drama,Music",7.3,42329.0,Craig Brewer,"Stephanie Allain, John Singleton",,"Terrence Howard, Ludacris, Anthony Anderson, Taryn Manning"
1377,tt0410297,The Lake House,2006.0,99,"Drama,Fantasy,Romance",6.8,154913.0,Alejandro Agresti,"Roy Lee, Doug Davison","David Auburn, Eun-Jeong Kim, Ji Na Yeo","Keanu Reeves, Sandra Bullock, Christopher Plummer, Ebon Moss-Bachrach"
1378,tt0410377,Nim's Island,2008.0,96,"Adventure,Family,Fantasy",6.0,36296.0,"Jennifer Flackett,Mark Levin",,"Joseph Kwong, Paula Mazur, Wendy Orr","Jodie Foster, Gerard Butler, Abigail Breslin, Michael Carman"
1379,tt0410403,Only the Brave,2006.0,99,"Drama,War",5.3,902.0,,"Karen Criswell, Eric Hayashi, Jay Koiwai",,"Tamlyn Tomita, Lane Nishikawa, Greg Watanabe, Mark Dacascos"
1380,tt0410454,The Work and the Glory,2004.0,118,"Drama,Romance",6.5,1178.0,Russell Holt,Scott Swofford,Gerald N. Lund,"Sam Hennings, Eric Johnson, Alexander Carroll, Brenda Strong"
